time,value
2023-09-26T01:11:11.305Z,0
2023-09-26T01:11:12.304Z,0
2023-09-26T01:11:13.302Z,0
2023-09-26T01:11:14.307Z,0
2023-09-26T01:11:15.303Z,0
2023-09-26T01:11:16.407Z,0
2023-09-26T01:11:17.329Z,0
2023-09-26T01:11:18.353Z,0
2023-09-26T01:11:19.305Z,0
2023-09-26T01:11:20.305Z,0
2023-09-26T01:11:21.306Z,0
2023-09-26T01:11:22.303Z,0
2023-09-26T01:11:23.305Z,0
2023-09-26T01:11:24.304Z,0
2023-09-26T01:11:25.312Z,0
2023-09-26T01:11:26.304Z,0
2023-09-26T01:11:27.308Z,0
2023-09-26T01:11:28.305Z,0
2023-09-26T01:11:29.305Z,0
2023-09-26T01:11:30.304Z,0
2023-09-26T01:11:31.305Z,0
2023-09-26T01:11:32.303Z,0
2023-09-26T01:11:33.307Z,0
2023-09-26T01:11:34.304Z,0
2023-09-26T01:11:35.304Z,0
2023-09-26T01:11:36.303Z,0
2023-09-26T01:11:37.304Z,0
2023-09-26T01:11:38.304Z,0
2023-09-26T01:11:39.304Z,0
2023-09-26T01:11:40.308Z,0
2023-09-26T01:11:41.304Z,0
2023-09-26T01:11:42.307Z,0
2023-09-26T01:11:43.305Z,0
2023-09-26T01:11:44.305Z,0
2023-09-26T01:11:45.305Z,0
2023-09-26T01:11:46.312Z,0
2023-09-26T01:11:47.305Z,0
2023-09-26T01:11:48.306Z,0
2023-09-26T01:11:49.305Z,0
2023-09-26T01:11:50.304Z,0
2023-09-26T01:11:51.309Z,0
2023-09-26T01:11:52.304Z,0
2023-09-26T01:11:53.304Z,0
2023-09-26T01:11:54.305Z,0
2023-09-26T01:11:55.305Z,0
2023-09-26T01:11:56.305Z,0
2023-09-26T01:11:57.311Z,0
2023-09-26T01:11:58.305Z,0
2023-09-26T01:11:59.309Z,0
2023-09-26T01:12:00.305Z,0
2023-09-26T01:12:01.308Z,0
2023-09-26T01:12:02.306Z,0
2023-09-26T01:12:03.307Z,0
2023-09-26T01:12:04.306Z,0
2023-09-26T01:12:05.305Z,0
2023-09-26T01:12:06.305Z,0
2023-09-26T01:12:07.307Z,0
2023-09-26T01:12:08.307Z,0
2023-09-26T01:12:09.307Z,0
2023-09-26T01:12:10.311Z,0
2023-09-26T01:12:11.306Z,0
2023-09-26T01:12:12.309Z,0
2023-09-26T01:12:13.311Z,0
2023-09-26T01:12:14.309Z,0
2023-09-26T01:12:15.308Z,0
2023-09-26T01:12:16.308Z,0
2023-09-26T01:12:17.307Z,0
2023-09-26T01:12:18.308Z,0
2023-09-26T01:12:19.306Z,0
2023-09-26T01:12:20.307Z,0
2023-09-26T01:12:21.307Z,0
2023-09-26T01:12:22.306Z,0
